command,category
find /path/to/directory -type f -exec chmod 644 {} +,文件权限操作
cd $(dirname $(readlink -f $0)),目录切换
find / -group 2000 -exec chgrp -h foo {} \;,文件搜索操作
chsh -s $(which zsh),更改shell
find . -name '*.php' -exec chmod 755 {} \; | tee logfile.txt,文件权限操作
chown user_name file,文件权限操作
sudo chown root:wheel com.xxxx.adbind.plist,文件权限操作
chown root:root script.sh,文件权限操作
chown user_name folder,文件权限操作
sudo chown el my_test_expect.exp,文件权限操作
chown $1:httpd .htaccess,文件权限操作
"chown $FUID:$FGID ""$FILE2""",文件权限操作
"chown -- ""$user:$group"" ""$file""",文件权限操作
sudo chown bob:sftponly /home/bob/writable,文件权限操作
sudo chown root:dockerroot /var/run/docker.sock,文件权限操作
sudo chown root:wheel adbind.bash,文件权限操作
sudo chown root:wheel bin,文件权限操作
sudo chown root:www-data /foobar/test_file,文件权限操作
sudo chown `whoami` /data/db,文件权限操作
sudo chown `whoami` /vol,文件权限操作
find /path/to/look/in/ -type d -name '.texturedata' -exec chmod 000 {} \; -prune,文件权限操作
find /path/to/look/in/ -type d -name '.texturedata' -prune -print0 | xargs -0 chmod 000,文件权限操作
"find ""$d/"" -type d -print0 | xargs -0 chmod 755",文件权限操作
find -perm 777 | xargs -I@ sudo chmod 755 '@',文件权限操作
"find . -name ""*.php"" -exec chmod 755 {} \;",文件权限操作
"find . -name ""*.php"" -exec chmod 755 {} + -printf '.' | wc -c",文件权限操作
"find . -name ""*.php"" -exec chmod 755 {} \; -exec /bin/echo {} \; | wc -l",文件权限操作
chmod 444 .bash_logout .bashrc .profile,文件权限操作
sudo chmod 755 .git/hooks/pre-commit,文件权限操作
sudo chmod 777 .git/hooks/prepare-commit-msg,文件权限操作
sudo chmod 755 /dvtcolorconvert.rb,文件权限操作
chmod 777 /usr/bin/wget,文件权限操作
sudo chmod 755 mksdcard,文件权限操作
find . -type d -exec chmod 755 {} +,文件权限操作
"find ~/dir_data -type d -exec chmod a+xr,u+w {} \;",文件权限操作
find ./debian -type d | xargs chmod 755,文件权限操作
"find . -name ""*.php"" -exec chmod 755 {} + -printf '.' | wc -c",文件权限操作
"find . -name ""*.php"" | pv --line-mode | xargs chmod 755",文件权限操作
find . -name '*.php' -exec chmod 755 {} \; -exec echo '+' \;,文件权限操作
"find . -name ""*.php"" -exec chmod 755 {} \; -exec /bin/echo {} \; | wc -l",文件权限操作
find . -type f -exec chmod 644 {} +,文件权限操作
"find ~/dir_data -type f -exec chmod a-x,u+w {} \;",文件权限操作
chmod 555 /home/sshtunnel/,文件权限操作
"find /path -type d -exec chmod 0755 ""{}"" \;",文件权限操作
find /path -type d -exec chmod 0755 {} \;,文件权限操作
find /path -type d | xargs chmod 0755,文件权限操作
find . -type f -exec chmod 500 {} ';',文件权限操作
"find . -name ""*.rb"" -type f -exec chmod 600 {} \;",文件权限操作
"find /usr/local -name ""*.html"" -type f -exec chmod 644 {} \;",文件权限操作
find /path/to/someDirectory -type d -print0 | xargs -0 sudo chmod 755,文件权限操作
find . -type f | xargs -I{} chmod -v 644 {},文件权限操作
find . -type f | xargs chmod -v 644,文件权限操作
find ./ -type f -print0 | xargs -t -0 chmod -v 644,文件权限操作
"find . -type f -print | sed -e 's/^/""/' -e 's/$/""/' | xargs chmod 644",文件权限操作
find /path/to/someDirectory -type f -print0 | xargs -0 sudo chmod 644,文件权限操作
find /path/to/dir/ -type f -print0 | xargs -0 chmod 644,文件权限操作
find /path/to/dir ! -perm 0644 -exec chmod 0644 {} \;,文件权限操作
find /path/to/dir/ -type f ! -perm 0644 -print0 | xargs -0 chmod 644,文件权限操作
find . -type d -print0|xargs -0 chmod 644,文件权限操作
find . -perm 755 -exec chmod 644 {} \;,文件权限操作
find . -type f -perm 755 -exec chmod 644 {} \;,文件权限操作
find . -type f -name '*.php' -exec chmod 644 {} \;,文件权限操作
find . -type f -exec chmod 644 {} \;,文件权限操作
find . -mindepth 1 -type d | xargs chmod 700,文件权限操作
find . -mindepth 2 | xargs chmod 700,文件权限操作
find /path/to/dir -type d -exec chmod 755 {} \;,文件权限操作
find . -type d | xargs chmod -v 755,文件权限操作
"find . -type d -print | sed -e 's/^/""/' -e 's/$/""/' | xargs chmod 755",文件权限操作
find . -type d -exec chmod 755 {} \;,文件权限操作
find . -type d -exec chmod 777 {} \;,文件权限操作
"find . -type f -exec chmod u=rw,g=r,o= '{}' \;",文件权限操作
"find . -type f -exec chmod u=rw,g=r,o= '{}' \;",文件权限操作
"find . -type d -exec chmod u=rwx,g=rx,o= '{}' \;",文件权限操作
"find . -type d -exec chmod u=rwx,g=rx,o= '{}' \;",文件权限操作
"find htdocs cgi-bin -name ""*.cgi"" -type f -exec chmod 755 {} \;",文件权限操作
find . -type f -exec sed -i 's/searc/replace/g' {} \;,文件编辑操作
cp --remove-destination $(readlink $f) $f,文件复制操作
"find . -type f  -name '*.java' -exec sh -c 'iconv -f cp1252 -t utf-8 ""$1"" > converted && mv converted ""$1""' -- {} \;",文件搜索操作
"find . -name ""*.txt"" | sed ""s/\.txt$//"" | xargs -i echo mv {}.txt {}.bak | sh",文件搜索操作
chown :friends myfile,文件权限操作
"find . -type d | sed -e 's/\.\///g' -e 's/\./avoid/g' | grep -v avoid | awk '{print $1""\t""$1}' | xargs chgrp",文件编辑操作
"find . -type d | sed -e 's/\.\///g' | awk '{print $1, $1}' | xargs chgrp",文件编辑操作
find . -group root -print | xargs chgrp temp,文件搜索操作
chown root:root it,文件权限操作
sudo chown root:root testfile.txt,文件权限操作
sudo chown root:root uid_demo,文件权限操作
chown $JBOSS_USER $JBOSS_CONSOLE_LOG,文件权限操作
sudo chown nobody /var/www/html/mysite/images/,文件权限操作
sudo chown nobody /var/www/html/mysite/tmp_file_upload/,文件权限操作
chown user destination_dir,文件权限操作
sudo chown root process,文件权限操作
"find /mydir -type f -name ""*.txt"" -execdir chown root {} ';'",文件权限操作
ls /empty_dir/ | xargs -L10 chown root,文件权限操作
ls /empty_dir/ | xargs -n10 chown root,文件权限操作
find . -not -iwholename './var/foo*' -exec chown www-data '{}' \;,文件权限操作
find dir_to_start -name dir_to_exclude -prune -o -print0 | xargs -0 chown owner,文件权限操作
"find dir_to_start -not -name ""file_to_exclude""  -print0 | xargs -0 chown owner",文件权限操作
chown ${JBOSS_USER}: $(dirname $JBOSS_PIDFILE) || true,文件权限操作
sudo chown hduser:hadoop {directory path},文件权限操作
chown owner:nobody public_html,文件权限操作
chown root:specialusers dir1,文件权限操作
chown user:group file ...,文件权限操作
sudo chown root. /etc/udev/rules.d/51-android.rules,文件权限操作
sudo chown root /home/bob,文件权限操作
sudo chown root file.sh,文件权限操作
find . -user aluno1 -exec chown aluno2 {},文件权限操作
find -user root -exec chown www-data {} \;,文件权限操作
find . -exec chown myuser:a-common-group-name {} +,文件权限操作
find -x / -user george -print0 | xargs -0 chown eva,文件权限操作
find . -type d -user harry -exec chown daisy {} \;,文件权限操作
find . -type f -exec chmod 644 {} \;,文件权限操作
find . -type f -exec chmod 0644 {} +,文件权限操作
find . -type f -exec chmod 0644 {} \;,文件权限操作
find . -type d -exec chmod 0755 {} \;,文件权限操作
find . -type f | xargs -I{} chmod -v 644 {},文件权限操作
find . -type f | xargs chmod -v 644,文件权限操作
find . -type d | xargs chmod -v 755,文件权限操作
find /var/ftp/mp3 -name '*.mp3' -type f -exec chmod 644 {} \;,文件权限操作
find . -maxdepth 1 -type d -exec chmod -R 700 {} \;,文件权限操作
find . -type d -exec chmod 755 {} \;,文件权限操作
touch -h somesymlink,文件编辑操作
find /var/www -print0 | xargs -0 chown www-data:www-data,文件权限操作
find . -type d -user harry -exec chown daisy {} \;,文件权限操作
cd foo | cat,目录切换
cd -P xyz,目录切换
cd `cat $HOME/.lastdir`,目录切换
"cd ""$(dirname ""$(which oracle)"")""",目录切换
"cd ""$(dirname $(which oracle))""",目录切换
cd $(dirname $(which oracle)),目录切换
cd $(dirname `which oracle`),目录切换
cd $(which oracle | xargs dirname),目录切换
cd `dirname $TARGET_FILE`,目录切换
cd -P ..,目录切换
"cd ""$(dirname ""$(which oracle)"")""",目录切换
cd `which <file> | xargs dirname`,目录切换
cd `dirname $(which python)`,目录切换
"cd ""$TAG""",目录切换
find / -user 1005 -exec chown -h foo {} \;,文件权限操作
chown amzadm.root  /usr/bin/aws,文件权限操作
chgrp btsync /etc/btsync/[prefered conf name].conf,文件权限操作
chgrp www-data /home/www-user/php_user.sh,文件权限操作
chgrp forge /var/run/fcgiwrap.socket,文件权限操作
chgrp loggroup logdir,文件权限操作
chgrp groupb myprog,文件权限操作
"chgrp ""${USER}"" myprogram",文件权限操作
chgrp god public private,文件权限操作
chgrp pub public,文件权限操作
chgrp Workers shared,文件权限操作
chgrp target_group target_directory,文件权限操作
sudo chgrp gpio /sys/class/gpio/export /sys/class/gpio/unexport,文件权限操作
chgrp,文件权限操作
cd $(dirname $(which ssh));,目录切换
"find . -type f -iname ""*.txt"" -print | xargs grep ""needle""",文件搜索操作
"find . -type f -iname ""*.txt"" -print0 | xargs -0 grep ""needle""",文件搜索操作
"ssh -q $HOST [[ -f $FILE_PATH ]] && echo ""File exists"" || echo ""File does not exist"";",远程连接
od -t x2 -N 1000 $file | cut -c8- | egrep -m1 -q ' 0d| 0d|0d$',文件编辑操作
mount -l | grep 'type nfs' | sed 's/.* on \([^ ]*\) .*/\1/' | grep /path/to/dir,文件编辑操作
"ssh remote_host test -f ""/path/to/file"" && echo found || echo not found",远程连接
"ssh host ""test -e /path/to/file""",远程连接
"AMV=$(mount -l | grep ""\[$VLABEL\]"")",环境设置
diff <(ssh server1 'rpm -qa | sort') <(ssh server2 'rpm -qa | sort'),远程连接
mount | grep -q ~/mnt/sdc1,文件挂载操作
"df $path_in_question | grep "" $path_in_question$""",磁盘操作
is_nullglob=$( shopt -s | egrep -i '*nullglob' ),环境设置
tmux show-environment -g | grep RBENV,终端会话操作
tmux show-environment -t sessname | grep RBENV,终端会话操作
[[ $(find /path/to/file -type f -size +51200c 2>/dev/null) ]] && echo true || echo false,文件搜索操作
tmux show-environment | grep RBENV,终端会话操作
mount |grep nfs,文件挂载操作
mount | grep $(readlink -f /dev/disk/by-uuid/$UUID ),文件挂载操作
mount | grep $(blkid -U '09b8f1ab-8d4b-4c5f-b395-40be09c090b0'),文件挂载操作
mount | grep $(blkid -U '09b8f1ab-8d4b-4c5f-b395-40be09c090b0') | grep '/media/WD_Disk_1 ',文件挂载操作
"[ `md5sum $(which c++) | cut -d' ' -f1` == `md5sum $(which g++) | cut -d' ' -f1` ] && echo Yes, equal content || echo No, unequal content",MD5哈希计算操作
cat *.txt | sort | sort -u -c,文件查看操作
pstree --show-parents -p $$ | head -n 1 | sed 's/\(.*\)+.*/\1/' | wc -l,进程操作
uname -m | grep '64',查看系统信息
"find ""$some_dir"" -prune -empty -type d | read && echo empty || echo ""not empty""",文件搜索操作
"find ""`echo ""$some_dir""`"" -maxdepth 0 -empty",文件搜索操作
"[[ ""$(find . -maxdepth 1 -cmin +60 -name file)"" = """" ]] && echo ""old""",文件搜索操作
kill -0 1,kill相关操作
"find ""$somedir"" -maxdepth 0 -empty -exec echo {} is empty. \;",文件搜索操作
comm -23 <(sort subset | uniq) <(sort set | uniq) | head -1,文件查看操作
"find ""$somedir"" -type f -exec echo Found unexpected file {} \;",文件搜索操作
ls `readlink somelink`,文件查看操作
[ $(find your/dir -prune -empty) = your/dir ],文件搜索操作
du -csxb /path | md5sum -c file,MD5哈希计算操作
ssh -S my-ctrl-socket -O check jm@sampledomain.com,远程连接
ssh -O check officefirewall,远程连接
readelf -a -W libsomefile.a | grep Class: | sort | uniq,文件查看操作
sudo env,环境设置
"find . -type f -name ""*.php"" -exec php -l {} \;",文件搜索操作
"df $path_in_question | grep "" $path_in_question$""",磁盘操作
df /full/path | grep -q /full/path,磁盘操作
pstree --show-parents -p $$ | head -n 1 | sed 's/\(.*\)+.*/\1/' | grep screen | wc -l,进程操作
rpm -qf `which sort`,软件包操作
bzip2 -t file.bz2,文件压缩操作
groups monit |grep www-data,用户组操作
brew doctor,软件包操作
find . \( -name a.out -o -name '*.o' -o -name 'core' \) -exec rm {} \;,文件删除操作
"find . -type d -name "".svn"" -print | parallel rm -rf",文件删除操作
"find . -type d -name "".svn"" -print | xargs rm -rf",文件删除操作
"kill -9 $(ps -A -ostat,ppid | grep -e '[zZ]'| awk '{ print $2 }')",kill相关操作
"kill $(ps -A -ostat,ppid | awk '/[zZ]/{print $2}')",kill相关操作
unzip -l some-jars-and-textfiles.zip | tr '[:blank:]' \\t | cut -f 5 | grep jar,文件压缩操作
history -c,查看历史命令
history -cr,查看历史命令
history -c,查看历史命令
echo `clear`,清空屏幕操作
clear,清空屏幕操作
"chown $(stat -c%u:%g ""$srcdir"") ""$dstdir""",文件权限操作
"chown $(stat -f%u:%g ""$srcdir"") ""$dstdir""",文件权限操作
screen -X quit,终端会话操作
ssh -S my-ctrl-socket -O exit jm@sampledomain.com,远程连接
"dir=""`echo $dir | sed s,//,/,g`""",环境设置
"paste -d """" - -",文件编辑操作
"diff ""$source_file"" ""$dest_file""",文件对比操作
"diff current.log previous.log | grep "">\|<"" #comparring users lists",文件对比操作
diff -up fastcgi_params fastcgi.conf,文件对比操作
diff -u file1 file2,文件对比操作
"find . -name ""*.csv"" -exec diff {} /some/other/path/{} "";"" -print",文件搜索操作
"find . -okdir diff {} /some/other/path/{} "";""",文件搜索操作
"awk 'NR==1 { print; next } { print $0, ($1 == a && $2 == b) ? ""equal"" : ""not_equal""; a = $1; b = $3 }' file | column -t",文件对比操作
find . -name *.xml -exec diff {} /destination/dir/2/{} \;,文件搜索操作
find . -name '*.h' -execdir /bin/diff -u '{}' /tmp/master ';',文件搜索操作
diff -ENwbur repos1/ repos2/,文件对比操作
"diff -u A1 A2 | grep -E ""^\+""",文件对比操作
comm abc def,文件对比操作
diff -Naur dir1/ dir2,文件对比操作
diff -Nar /tmp/dir1 /tmp/dir2/,文件对比操作
comm <(sort -n f1.txt) <(sort -n f2.txt),文件对比操作
comm <(sort f1.txt) <(sort f2.txt),文件对比操作
diff <(echo hello) <(echo goodbye),文件对比操作
diff <(ls /bin) <(ls /usr/bin),文件对比操作
diff <(zcat file1.gz) <(zcat file2.gz),文件对比操作
"find FOLDER1 -type f -print0 | xargs -0 -I % find FOLDER2 -type f -exec diff -qs --from-file=""%"" '{}' \+",文件对比操作
comm -23 <(ls) <(ls *Music*),文件对比操作
"DST=`dirname ""${SRC}""`/`basename ""${SRC}"" | tr '[A-Z]' '[a-z]'`",环境设置
"g=`dirname ""$f""`/`basename ""$f"" | tr '[A-Z]' '[a-z]'`",环境设置
pstree -p | grep git,进程操作
"FOO=$(echo ""Hello world"" | gzip | base64)",环境设置
gzip archive.tar,文件压缩操作
"hey=$(echo ""hello world"" | gzip -cf)",环境设置
gzip -c my_large_file | split -b 1024MiB - myfile_split.gz_,文件压缩操作
"gzip -c mysqldbbackup.sql | uuencode mysqldbbackup.sql.gz  | mail -s ""MySQL DB"" backup@email.com",文件压缩操作
"gzip ""$file""",文件压缩操作
find /var -iname \*.log | xargs bzip -,文件压缩操作
find /var -iname \*.log -exec bzip {} \;,文件压缩操作
"gzip ""{}""",文件压缩操作
gzip */*.txt,文件压缩操作
"find . -type f -name ""*.txt"" -exec gzip {} \;",文件压缩操作
"find ./ -name ""*.img"" -exec bzip2 -v {} \;",文件压缩操作
find . -name '*.txt' | xargs zip -9 txt.zip,文件压缩操作
find $LOGDIR -type d -mtime +0 -exec compress -r {} \;,文件压缩操作
find $LOGDIR -type d -mtime -1 -exec compress -r {} \;,文件压缩操作
find $PATH_TO_LOGS -maxdepth 1 -mtime +$SOME_NUMBER_OF_DAYS -exec gzip -N {} \;,文件压缩操作
find $FILE -type f -mtime 30 -exec gzip {} \;,文件压缩操作
find $FILE -type f -not -name '*.gz' -mtime 30 -exec gzip {} \;,文件压缩操作
"find $PATH_TO_LOGS -maxdepth 1 -mtime +$SOME_NUMBER_OF_DAYS -exec sh -c ""case {} in *.gz) ;; *)  gzip '{}' ;; esac;"" \;",文件压缩操作
find /source -type f -print0 | xargs -0 -n 1 -P $CORES gzip -9,文件压缩操作
find . -type f -print0 | xargs -0r gzip,文件压缩操作
echo *.txt | xargs gzip -9,文件压缩操作
"sudo find / -xdev -type f -size +100000 -name ""*.log"" -exec gzip -v {} \;",文件压缩操作
"sudo find / -xdev -type f -size +100000 -name ""*.log"" -exec gzip -v {} \; 2>&1 | awk '{print $6}'",文件压缩操作
"sudo find / -xdev -type f -size +100000 -name ""*.log"" -exec gzip {} \; -exec echo {} \;",文件压缩操作
find *.1  -exec tar czf '{}.tgz' '{}' --remove-files \;,文件压缩操作
gzip -k *cache.html,文件压缩操作
"find . -type f -name ""*cache.html"" -exec gzip -k {} \;",文件压缩操作
"find . -type f -name ""*cache.html"" -exec sh -c ""gzip < {} > {}.gz"" \;",文件压缩操作
find folder -type f -exec gzip -9 {} \; -exec mv {}.gz {} \;,文件压缩操作
"find . \! -name ""*.Z"" -exec compress -f {} \;",文件压缩操作
echo gzip. $( gzip | wc -c ),文件压缩操作
gzip,文件压缩操作
find . -type f  -mtime +7 | tee compressedP.list | parallel compress,文件压缩操作
find . -type f  -mtime +7 | tee compressedP.list | xargs -I{} -P10 compress {} &,文件压缩操作
find . -type f  -mtime +7 | tee compressedP.list | xargs compress,文件压缩操作
uuencode <(head -c 200 /dev/urandom | base64 | gzip),文件压缩操作
bzip2 file | tee -a logfile,文件压缩操作
find -name \*.xml -print0 | xargs -0 -n 1 -P 3 bzip2,文件压缩操作
bzip2 *,文件压缩操作
find PATH_TO_FOLDER -maxdepth 1 -type f -exec bzip2 -zk {} \;,文件压缩操作
compress $* &,文件压缩操作
bzip2 -k example.log,文件压缩操作
"find ""$1"" -type f | egrep -v '\.bz2' | xargs bzip2 -9 &",文件压缩操作
"date -ujf%s $(($(date -jf%T ""10:36:10"" +%s) - $(date -jf%T ""10:33:56"" +%s))) +%T",日期操作
find ~/ -name '*.txt' -print0 | xargs -0 wc -w | awk 'END { print $1/(NR-1) }',文件搜索操作
find ~/Journalism  -name '*.txt' -print0 | xargs -0 wc -w | awk '$1 < 2000 {v += $1; c++} END {print v/c}',文件搜索操作
"find . -name '*.txt' -not -name ""all.txt"" | xargs cat > all.txt",文件搜索操作
"pdfunite `find . -name ""*.pdf"" | sort` all.pdf",文件搜索操作
find . -iname '*test*' -exec cat {} \;,文件搜索操作
find . -name '*test*' -exec cat {} \;,文件搜索操作
paste -s -d' \n' input.txt,文件编辑操作
scp -qv $USER@$HOST:$SRC $DEST,文件传输操作
"ssh -S ""$SSHSOCKET"" -O exit ""$USER_AT_HOST""",远程登录操作
"ssh -M -f -N -o ControlPath=""$SSHSOCKET"" ""$USER_AT_HOST""",远程登录操作
"ssh -l ${USERNAME} ${HOSTNAME} ""${SCRIPT}""",远程登录操作
"ssh -o StrictHostKeyChecking=no -l username hostname ""pwd; ls""",远程登录操作
scp -v user@remotehost:/location/KMST_DataFile_*.kms,远程登录操作
scp -v /my_folder/my_file.xml user@server_b:/my_new_folder/,远程登录操作
ssh -o UserKnownHostsFile=/dev/null username@hostname,远程登录操作
scp -P 1234 user@[ip address or host name]:/var/www/mywebsite/dumps/* /var/www/myNewPathOnCurrentLocalMachine,文件传输操作
scp -P 2222 /absolute_path/source-folder/some-file user@example.com:/absolute_path/destination-folder,文件传输操作
scp -c blowfish -r user@your.server.example.com:/path/to/foo /home/user/Desktop/,文件传输操作
yes > backingfile &,文件编辑操作
"find . -name ""*.txt"" \( -exec echo {} \; -o -exec true \; \) -exec grep banana {} \;",文件搜索操作
yes | mv ...,文件重命名
